date,year,month,day,hour,camera_id,Gender,Input,Output,Age00,Age10,Age20,Age30,Age40,Age50,Age60,Age70,NaN
2022-04-03 10:00:00,2022,4,3,10,1,2,65,150,0,0,0,0,0,0,0,0,0
2022-04-03 11:00:00,2022,4,3,11,1,0,22,3,0,0,3,3,3,8,8,0,0
2022-04-03 11:00:00,2022,4,3,11,1,1,66,5,1,1,3,14,31,14,5,2,0
2022-04-03 11:00:00,2022,4,3,11,1,2,81,134,0,0,0,0,0,0,0,0,0
2022-04-03 12:00:00,2022,4,3,12,1,0,40,2,0,1,2,6,8,17,8,0,0
2022-04-03 12:00:00,2022,4,3,12,1,1,51,5,0,3,3,20,12,14,4,0,0
2022-04-03 12:00:00,2022,4,3,12,1,2,78,128,0,0,0,0,0,0,0,0,0
2022-04-03 13:00:00,2022,4,3,13,1,0,43,6,0,7,3,8,12,13,6,0,0
2022-04-03 13:00:00,2022,4,3,13,1,1,51,4,1,1,4,19,8,14,8,0,0
2022-04-03 13:00:00,2022,4,3,13,1,2,124,193,0,0,0,0,0,0,0,0,0
2022-04-03 14:00:00,2022,4,3,14,1,0,62,5,0,4,13,13,12,14,11,0,0
2022-04-03 14:00:00,2022,4,3,14,1,1,64,6,0,2,5,25,24,6,6,2,0
2022-04-03 14:00:00,2022,4,3,14,1,2,113,131,0,0,0,0,0,0,0,0,0
2022-04-03 15:00:00,2022,4,3,15,1,0,61,3,2,2,6,11,19,14,10,0,0
2022-04-03 15:00:00,2022,4,3,15,1,1,57,4,0,7,5,29,12,8,0,0,0
2022-04-03 15:00:00,2022,4,3,15,1,2,85,134,0,0,0,0,0,0,0,0,0
2022-04-03 16:00:00,2022,4,3,16,1,0,63,1,0,7,2,10,20,14,11,0,0
2022-04-03 16:00:00,2022,4,3,16,1,1,42,0,0,1,11,19,9,0,2,0,0
2022-04-03 16:00:00,2022,4,3,16,1,2,36,80,0,0,0,0,0,0,0,0,0
2022-04-03 17:00:00,2022,4,3,17,1,0,58,2,0,2,6,14,17,12,7,2,0
2022-04-03 17:00:00,2022,4,3,17,1,1,56,1,0,0,7,27,12,7,3,1,0
2022-04-03 17:00:00,2022,4,3,17,1,2,52,107,0,0,0,0,0,0,0,0,0
2022-04-03 18:00:00,2022,4,3,18,1,0,62,6,1,2,9,18,20,14,4,0,0
2022-04-03 18:00:00,2022,4,3,18,1,1,42,1,0,1,8,17,12,5,0,0,0
2022-04-03 18:00:00,2022,4,3,18,1,2,36,105,0,0,0,0,0,0,0,0,0
2022-04-03 19:00:00,2022,4,3,19,1,0,43,5,0,4,17,14,11,1,1,0,0
2022-04-03 19:00:00,2022,4,3,19,1,1,45,3,1,2,20,21,3,1,0,0,0
2022-04-03 19:00:00,2022,4,3,19,1,2,30,82,0,0,0,0,0,0,0,0,0
2022-04-03 20:00:00,2022,4,3,20,1,0,35,2,0,1,7,18,5,4,2,0,0
2022-04-03 20:00:00,2022,4,3,20,1,1,50,1,0,5,15,24,6,1,0,0,0
2022-04-03 20:00:00,2022,4,3,20,1,2,35,58,0,0,0,0,0,0,0,0,0
2022-04-03 21:00:00,2022,4,3,21,1,0,27,1,0,3,12,8,4,1,0,0,0
2022-04-03 21:00:00,2022,4,3,21,1,1,32,4,0,4,18,13,1,0,0,0,0
2022-04-03 21:00:00,2022,4,3,21,1,2,31,43,0,0,0,0,0,0,0,0,0
2022-04-03 22:00:00,2022,4,3,22,1,0,26,2,0,3,7,9,5,4,0,0,0
2022-04-03 22:00:00,2022,4,3,22,1,1,32,1,0,1,13,16,2,0,1,0,0
2022-04-03 22:00:00,2022,4,3,22,1,2,29,55,0,0,0,0,0,0,0,0,0
2022-04-03 23:00:00,2022,4,3,23,1,0,16,0,0,3,1,9,2,1,0,0,0
2022-04-03 23:00:00,2022,4,3,23,1,1,18,0,0,0,7,9,1,1,0,0,0
2022-04-03 23:00:00,2022,4,3,23,1,2,9,26,0,0,0,0,0,0,0,0,0
2022-04-04 00:00:00,2022,4,4,0,1,0,7,2,0,1,4,2,1,1,0,0,0
2022-04-04 00:00:00,2022,4,4,0,1,1,7,0,0,0,3,2,1,0,1,0,0
2022-04-04 00:00:00,2022,4,4,0,1,2,6,22,0,0,0,0,0,0,0,0,0
2022-04-04 01:00:00,2022,4,4,1,1,0,4,0,0,0,0,2,0,2,0,0,0
2022-04-04 01:00:00,2022,4,4,1,1,1,3,0,0,2,1,0,0,0,0,0,0
2022-04-04 01:00:00,2022,4,4,1,1,2,8,11,0,0,0,0,0,0,0,0,0
2022-04-04 02:00:00,2022,4,4,2,1,0,4,0,0,0,0,2,0,2,0,0,0
2022-04-04 02:00:00,2022,4,4,2,1,1,3,1,0,0,0,2,1,1,0,0,0
2022-04-04 02:00:00,2022,4,4,2,1,2,9,1,0,0,0,0,0,0,0,0,0
2022-04-04 03:00:00,2022,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-04 03:00:00,2022,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-04-04 03:00:00,2022,4,4,3,1,2,1,7,0,0,0,0,0,0,0,0,0
2022-04-04 04:00:00,2022,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-04 04:00:00,2022,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-04-04 04:00:00,2022,4,4,4,1,2,1,2,0,0,0,0,0,0,0,0,0
2022-04-04 05:00:00,2022,4,4,5,1,0,3,1,0,0,2,1,1,0,0,0,0
2022-04-04 05:00:00,2022,4,4,5,1,1,2,1,0,0,1,0,2,0,0,0,0
2022-04-04 05:00:00,2022,4,4,5,1,2,5,5,0,0,0,0,0,0,0,0,0
2022-04-04 06:00:00,2022,4,4,6,1,0,16,0,0,0,0,3,5,5,3,0,0
2022-04-04 06:00:00,2022,4,4,6,1,1,8,0,0,0,1,2,4,1,0,0,0
2022-04-04 06:00:00,2022,4,4,6,1,2,12,12,0,0,0,0,0,0,0,0,0
2022-04-04 07:00:00,2022,4,4,7,1,0,63,0,0,1,0,3,9,24,25,1,0
2022-04-04 07:00:00,2022,4,4,7,1,1,35,0,0,0,4,11,11,6,1,2,0
2022-04-04 07:00:00,2022,4,4,7,1,2,21,30,0,0,0,0,0,0,0,0,0
2022-04-04 08:00:00,2022,4,4,8,1,0,102,1,1,0,1,5,22,39,34,1,0
2022-04-04 08:00:00,2022,4,4,8,1,1,79,1,1,1,4,17,24,16,14,3,0
2022-04-04 08:00:00,2022,4,4,8,1,2,68,62,0,0,0,0,0,0,0,0,0
2022-04-04 09:00:00,2022,4,4,9,1,0,38,0,0,1,1,4,5,13,12,2,0
2022-04-04 09:00:00,2022,4,4,9,1,1,28,1,0,1,3,5,8,5,5,2,0
2022-04-04 09:00:00,2022,4,4,9,1,2,42,66,0,0,0,0,0,0,0,0,0
2022-04-04 10:00:00,2022,4,4,10,1,0,26,2,0,0,1,2,1,10,12,2,0
2022-04-04 10:00:00,2022,4,4,10,1,1,44,1,1,1,3,12,10,10,8,0,0
2022-04-04 10:00:00,2022,4,4,10,1,2,39,76,0,0,0,0,0,0,0,0,0
2022-04-04 11:00:00,2022,4,4,11,1,0,37,6,0,1,1,5,8,15,12,1,0
2022-04-04 11:00:00,2022,4,4,11,1,1,30,2,0,2,2,4,8,11,3,2,0
2022-04-04 11:00:00,2022,4,4,11,1,2,71,109,0,0,0,0,0,0,0,0,0
2022-04-04 12:00:00,2022,4,4,12,1,0,66,1,0,2,4,10,14,21,16,0,0
2022-04-04 12:00:00,2022,4,4,12,1,1,46,3,0,2,4,8,11,16,8,0,0
2022-04-04 12:00:00,2022,4,4,12,1,2,94,108,0,0,0,0,0,0,0,0,0
2022-04-04 13:00:00,2022,4,4,13,1,0,39,0,0,2,6,8,7,12,4,0,0
2022-04-04 13:00:00,2022,4,4,13,1,1,29,0,0,0,1,5,6,12,4,1,0
2022-04-04 13:00:00,2022,4,4,13,1,2,80,94,0,0,0,0,0,0,0,0,0
2022-04-04 14:00:00,2022,4,4,14,1,0,29,1,0,1,1,6,7,11,2,2,0
2022-04-04 14:00:00,2022,4,4,14,1,1,21,2,0,0,4,5,7,4,3,0,0
2022-04-04 14:00:00,2022,4,4,14,1,2,71,102,0,0,0,0,0,0,0,0,0
2022-04-04 15:00:00,2022,4,4,15,1,0,33,2,0,1,1,6,11,11,5,0,0
2022-04-04 15:00:00,2022,4,4,15,1,1,24,1,0,0,3,13,6,2,1,0,0
2022-04-04 15:00:00,2022,4,4,15,1,2,39,84,0,0,0,0,0,0,0,0,0
2022-04-04 16:00:00,2022,4,4,16,1,0,44,2,0,1,2,5,18,15,4,1,0
2022-04-04 16:00:00,2022,4,4,16,1,1,26,2,0,0,4,13,8,2,1,0,0
2022-04-04 16:00:00,2022,4,4,16,1,2,54,100,0,0,0,0,0,0,0,0,0
2022-04-04 17:00:00,2022,4,4,17,1,0,63,2,0,0,5,11,18,23,8,0,0
2022-04-04 17:00:00,2022,4,4,17,1,1,61,1,1,2,12,22,21,4,0,0,0
2022-04-04 17:00:00,2022,4,4,17,1,2,42,128,0,0,0,0,0,0,0,0,0
2022-04-04 18:00:00,2022,4,4,18,1,0,95,4,0,4,5,15,34,29,12,0,0
2022-04-04 18:00:00,2022,4,4,18,1,1,58,3,0,2,9,26,18,5,1,0,0
2022-04-04 18:00:00,2022,4,4,18,1,2,51,168,0,0,0,0,0,0,0,0,0
